cont_no,price,total,transaction_date,type,units_traded
30261188,7480000,175696972,2018-10-08 11:37:42,bid,23.4889
30261187,7480000,25322044,2018-10-08 11:37:42,bid,3.3853
30261186,7480000,940984,2018-10-08 11:37:42,bid,0.1258
30261185,7480000,3992824,2018-10-08 11:37:28,bid,0.5338
30261184,7480000,25608528,2018-10-08 11:37:28,bid,3.4236
30261183,7480000,5992228,2018-10-08 11:37:09,bid,0.8011
30261182,7479000,1917616,2018-10-08 11:36:42,ask,0.2564
30261181,7479000,3004314,2018-10-08 11:36:41,ask,0.4017
30261180,7480000,8976,2018-10-08 11:36:24,bid,0.0012
30261179,7481000,101646591,2018-10-08 11:36:10,bid,13.5873
30261178,7480000,315656,2018-10-08 11:36:10,bid,0.0422
30261177,7480000,201802172,2018-10-08 11:36:09,ask,26.9789
30261176,7480000,157828,2018-10-08 11:36:04,bid,0.0211
30261175,7479000,157807,2018-10-08 11:35:55,ask,0.0211
30261174,7480000,201802172,2018-10-08 11:35:48,ask,26.9789
30261173,7480000,157828,2018-10-08 11:35:48,ask,0.0211
30261172,7481000,24687,2018-10-08 11:35:19,bid,0.0033
30261171,7481000,201987000,2018-10-08 11:35:14,ask,27.0
30261170,7482000,2228140,2018-10-08 11:35:11,bid,0.2978
30261169,7482000,5679586,2018-10-08 11:35:11,bid,0.7591
30261168,7482000,8132186,2018-10-08 11:35:03,bid,1.0869
30261167,7477000,7669159,2018-10-08 11:34:59,bid,1.0257
30261166,7477000,462826,2018-10-08 11:34:58,bid,0.0619
30261165,7477000,9978804,2018-10-08 11:34:57,ask,1.3346
30261164,7477000,24702513,2018-10-08 11:34:57,ask,3.3038
30261163,7481000,201987000,2018-10-08 11:34:45,bid,27.0
30261162,7477000,9978804,2018-10-08 11:34:43,ask,1.3346
30261161,7477000,385066,2018-10-08 11:34:29,ask,0.0515
30261160,7482000,1152228,2018-10-08 11:34:24,bid,0.154
30261159,7477000,9978804,2018-10-08 11:34:22,bid,1.3346
30261158,7477000,12595754,2018-10-08 11:34:19,ask,1.6846
30261157,7477000,19853678,2018-10-08 11:34:19,ask,2.6553
30261156,7478000,2617300,2018-10-08 11:34:19,ask,0.35
30261155,7478000,199288700,2018-10-08 11:34:17,bid,26.65
30261154,7478000,2617300,2018-10-08 11:34:14,bid,0.35
30261153,7477000,12595754,2018-10-08 11:34:09,bid,1.6846
30261152,7476000,149520,2018-10-08 11:34:05,ask,0.02
30261151,7477000,32449432,2018-10-08 11:34:04,ask,4.3399
30261150,7477000,44639185,2018-10-08 11:33:59,ask,5.9702
30261149,7477000,130100,2018-10-08 11:33:52,ask,0.0174
30261148,7477000,275901,2018-10-08 11:33:41,ask,0.0369
30261147,7476000,4217212,2018-10-08 11:33:26,ask,0.5641
30261146,7479000,6281612,2018-10-08 11:33:22,bid,0.8399
30261145,7479000,8652455,2018-10-08 11:33:22,bid,1.1569
30261144,7475000,130065,2018-10-08 11:33:19,ask,0.0174
30261143,7479000,7160395,2018-10-08 11:33:17,ask,0.9574
30261142,7479000,15354387,2018-10-08 11:33:17,ask,2.053
30261141,7479000,7916522,2018-10-08 11:33:17,ask,1.0585
30261140,7479000,4657921,2018-10-08 11:33:16,ask,0.6228
30261139,7479000,811472,2018-10-08 11:33:16,ask,0.1085
30261138,7480000,4658544,2018-10-08 11:33:03,ask,0.6228
30261137,7480000,49315640,2018-10-08 11:32:53,ask,6.593
30261136,7482000,600805,2018-10-08 11:32:49,bid,0.0803
30261135,7479000,1548153,2018-10-08 11:32:33,ask,0.207
30261134,7479000,49309047,2018-10-08 11:32:33,ask,6.593
30261133,7479000,2732827,2018-10-08 11:32:29,ask,0.3654
30261132,7480000,50201272,2018-10-08 11:32:29,ask,6.7114
30261131,7480000,151758728,2018-10-08 11:32:27,bid,20.2886
30261130,7479000,21993495,2018-10-08 11:32:27,ask,2.9407
30261129,7479000,14958000,2018-10-08 11:32:25,ask,2.0
30261128,7478000,50845913,2018-10-08 11:32:22,ask,6.7994
30261127,7478000,4487,2018-10-08 11:32:19,ask,0.0006
30261126,7478000,10469,2018-10-08 11:32:19,ask,0.0014
30261125,7478000,14921601,2018-10-08 11:31:46,bid,1.9954
30261124,7478000,34399,2018-10-08 11:31:44,bid,0.0046
30261123,7480000,600644,2018-10-08 11:31:41,ask,0.0803
30261122,7480000,49834752,2018-10-08 11:31:40,ask,6.6624
30261121,7484000,11742396,2018-10-08 11:31:40,ask,1.569
30261120,7482000,23942,2018-10-08 11:31:37,bid,0.0032
30261119,7481000,42204810,2018-10-08 11:31:37,bid,5.6416
30261118,7481000,144820190,2018-10-08 11:31:34,bid,19.3584
30261117,7482000,14940058,2018-10-08 11:30:58,bid,1.9968
30261116,7487000,61910003,2018-10-08 11:30:55,bid,8.269
30261115,7484000,10623538,2018-10-08 11:30:55,bid,1.4195
30261114,7484000,23949,2018-10-08 11:30:55,bid,0.0032
30261113,7484000,14944051,2018-10-08 11:30:40,bid,1.9968
30261112,7479000,13370956,2018-10-08 11:30:32,ask,1.7878
30261111,7488000,68301792,2018-10-08 11:30:30,bid,9.1215
30261110,7479000,2503221,2018-10-08 11:30:30,bid,0.3347
30261109,7478000,13369168,2018-10-08 11:30:23,ask,1.7878
30261108,7480000,1886456,2018-10-08 11:30:23,ask,0.2522
30261107,7480000,203456,2018-10-08 11:30:10,ask,0.0272
30261106,7480000,10472,2018-10-08 11:30:04,ask,0.0014
30261105,7490000,24804633,2018-10-08 11:29:44,ask,3.3117
30261104,7490000,50932,2018-10-08 11:29:43,ask,0.0068
30261103,7490000,203728,2018-10-08 11:29:38,ask,0.0272
30261102,7490000,4368917,2018-10-08 11:29:38,bid,0.5833
30261101,7490000,135569,2018-10-08 11:29:38,bid,0.0181
30261100,7489000,22467,2018-10-08 11:29:38,bid,0.003
30261099,7486000,1325771,2018-10-08 11:29:38,bid,0.1771
30261098,7484000,297863,2018-10-08 11:29:38,bid,0.0398
30261097,7484000,1496800,2018-10-08 11:29:38,bid,0.2
30261096,7484000,65218570,2018-10-08 11:29:34,bid,8.7144
30261095,7478000,203402,2018-10-08 11:29:32,ask,0.0272
30261094,7476000,74375734,2018-10-08 11:29:30,ask,9.9486
30261093,7478000,373152,2018-10-08 11:29:30,ask,0.0499
30261092,7478000,24677,2018-10-08 11:29:29,ask,0.0033
30261091,7478000,124883,2018-10-08 11:29:29,ask,0.0167
30261090,7485000,3649686,2018-10-08 11:29:11,ask,0.4876
30261089,7485000,411675,2018-10-08 11:29:10,ask,0.055
